loader,preprocessor,model,pg_scheme,task,accuracy_mean,accuracy_std,f1_mean,f1_std,status
whole_set,protected_fp_hydrophob,knn,default_uzh_mit,classification,0.5955734406438632,0.051156996056942176,0.4985596734336464,0.045979597157021955,success
reaction_set,protected_fp_hydrophob,rff,default_uzh_mit,classification,0.5871629778672032,0.05311023650445109,0.38039722409427884,0.05642561826970359,success
whole_set_shuffled,protected_fp_hydrophob,xgb,default_uzh_mit,classification,0.5863636363636363,0.03491429885394823,0.4805544911258597,0.030560387766952152,success
whole_set,protected_whole_peptide_fingerprint,rff,default_uzh_mit,,,,,,failed
whole_set,protected_whole_peptide_fingerprint,xgb,default_uzh_mit,,,,,,failed
whole_set,protected_whole_peptide_fingerprint,knn,default_uzh_mit,,,,,,failed
reaction_set,protected_whole_peptide_fingerprint,rff,default_uzh_mit,,,,,,failed
reaction_set,protected_whole_peptide_fingerprint,xgb,default_uzh_mit,,,,,,failed
reaction_set,protected_whole_peptide_fingerprint,knn,default_uzh_mit,,,,,,failed
whole_set_shuffled,protected_whole_peptide_fingerprint,rff,default_uzh_mit,,,,,,failed
whole_set_shuffled,protected_whole_peptide_fingerprint,xgb,default_uzh_mit,,,,,,failed
whole_set_shuffled,protected_whole_peptide_fingerprint,knn,default_uzh_mit,,,,,,failed
whole_set,sequence,rff,default_uzh_mit,classification,0.6097786720321932,0.026454154185729235,0.468551724137931,0.043248803190468144,success
reaction_set,sequence,rff,default_uzh_mit,classification,0.6070020120724345,0.04398344320026666,0.4188566108857222,0.07655023463062902,success
whole_set_shuffled,sequence,knn,default_uzh_mit,classification,0.5840909090909091,0.04799707291350654,0.46873758669155097,0.06472793416643213,success
reaction_set,sequence,xgb,default_uzh_mit,classification,0.5840643863179074,0.0159933308368317,0.40483271029125767,0.11966979496426988,success
whole_set_shuffled,sequence,rff,default_uzh_mit,classification,0.5795454545454545,0.03803000120609436,0.4601812257101985,0.03775639867222189,success
whole_set,sequence,knn,default_uzh_mit,classification,0.5727565392354125,0.03579082681372274,0.46610463610463615,0.036777087949355684,success
reaction_set,sequence,knn,default_uzh_mit,classification,0.5727162977867203,0.05045090178906891,0.40853941860238707,0.04946331573414782,success
whole_set,sequence,xgb,default_uzh_mit,classification,0.5696177062374246,0.0670008640332821,0.4762758253491974,0.10313430408951534,success
whole_set_shuffled,sequence,xgb,default_uzh_mit,classification,0.5590909090909091,0.05631596224256303,0.48265459713839265,0.07361355830718343,success
reaction_set,whole_peptide_fingerprint,knn,default_uzh_mit,classification,0.6525553319919516,0.03161308379244277,0.5364385914786483,0.06763871631275388,success
reaction_set,whole_peptide_fingerprint,xgb,default_uzh_mit,classification,0.6326358148893361,0.05473257174072405,0.5027504194310989,0.10781090767715129,success
whole_set_shuffled,whole_peptide_fingerprint,rff,default_uzh_mit,classification,0.6318181818181817,0.035646334412177516,0.5112341017094868,0.07170829379579999,success
whole_set_shuffled,whole_peptide_fingerprint,xgb,default_uzh_mit,classification,0.6295454545454546,0.04745593867686616,0.5483826673265189,0.07663864418680415,success
whole_set,whole_peptide_fingerprint,rff,default_uzh_mit,classification,0.6156539235412475,0.06498955341844112,0.4778366322705946,0.09149647191966662,success
reaction_set,whole_peptide_fingerprint,rff,default_uzh_mit,classification,0.6127162977867203,0.037599254701482246,0.3918179852107523,0.08271142894923411,success
whole_set,whole_peptide_fingerprint,xgb,default_uzh_mit,classification,0.6070422535211268,0.047959636320875,0.4862505357490746,0.08276340714131486,success
whole_set,whole_peptide_fingerprint,knn,default_uzh_mit,classification,0.5870422535211268,0.0543813116884587,0.4841313210165669,0.06570593881550835,success
whole_set_shuffled,whole_peptide_fingerprint,knn,default_uzh_mit,classification,0.5795454545454546,0.019015000603047182,0.47990182825799266,0.028859102086219876,success
